village,district,state,N,P,K,pH,OC,B,Fe,Zn,S,Temperature,Humidity,Rainfall_monthly,cycle,feature_id,district_code,state_code
Borgaon,Balod,Chhattisgarh,301.56,30.464,406.0,5.75,0.43,0.42,43.97,0.24,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.81,646,22
Borgaon,Balod,Chhattisgarh,288.512,17.024,406.336,,0.49,0.89,59.35,1.23,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.260,646,22
Borgaon,Balod,Chhattisgarh,175.616,19.712,378.224,5.56,0.4,0.31,43.58,0.33,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.2038,646,22
Borgaon,Balod,Chhattisgarh,188.16,17.92,801.696,5.46,0.61,1.19,31.32,1.07,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.2059,646,22
Borgaon,Balod,Chhattisgarh,263.424,12.544,411.152,5.7,0.46,0.3,0.43,0.29,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.2070,646,22
Borgaon,Balod,Chhattisgarh,238.336,113.44,424.48,5.5,0.31,0.3,46.11,0.25,13.75,27.0,72,130,2024-25,22_646_shc_2024-25.2112,646,22
Borgaon,Balod,Chhattisgarh,213.248,18.816,344.288,5.35,0.28,0.59,41.83,0.15,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.2113,646,22
Borgaon,Balod,Chhattisgarh,275.97,11.65,357.5,5.61,0.28,0.27,24.18,1.56,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.2200,646,22
Dengrapar,Balod,Chhattisgarh,413.95,29.56,218.73,6.75,0.5,1.12,15.14,0.9,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.644,646,22
Dengrapar,Balod,Chhattisgarh,351.23,17.02,412.38,6.41,0.73,1.29,14.95,0.91,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.2217,646,22
Dengrapar,Balod,Chhattisgarh,213.24,25.0,323.34,7.17,0.76,2.05,15.1,0.94,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.2248,646,22
Dengrapar,Balod,Chhattisgarh,301.05,23.29,481.04,6.99,0.73,2.28,15.38,0.9,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.2249,646,22
Hitkasa,Balod,Chhattisgarh,213.248,15.232,357.72,5.91,0.9,1.14,26.52,0.77,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.3741,646,22
Hitkasa,Balod,Chhattisgarh,238.336,16.128,401.85,6.64,0.83,0.48,31.55,0.69,5.0,27.0,72,130,2024-25,22_646_shc_2024-25.3755,646,22
Hitkasa,Balod,Chhattisgarh,213.248,15.232,357.72,5.91,0.9,1.14,26.52,0.77,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.3760,646,22
Hitkasa,Balod,Chhattisgarh,326.144,17.024,320.76,7.09,0.49,0.48,34.2,0.82,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.5270,646,22
Hitkasa,Balod,Chhattisgarh,188.16,17.7,288.73,6.79,,0.5,61.52,0.46,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.5274,646,22
Jarwai,Balod,Chhattisgarh,263.424,13.44,224.33,7.13,0.69,0.69,27.75,0.91,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.484,646,22
Jarwai,Balod,Chhattisgarh,263.424,16.128,292.88,7.15,0.45,0.89,27.22,0.78,12.5,27.0,72,130,2024-25,22_646_shc_2024-25.494,646,22
Jarwai,Balod,Chhattisgarh,200.704,13.44,257.48,6.88,0.6,1.47,22.98,0.91,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.1495,646,22
Jarwai,Balod,Chhattisgarh,188.16,11.648,259.16,6.92,0.81,0.76,24.7,0.86,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.1502,646,22
Jarwai,Balod,Chhattisgarh,238.336,11.648,241.36,7.23,0.36,0.29,27.21,0.94,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.1519,646,22
Jarwai,Balod,Chhattisgarh,263.424,10.752,387.07,7.29,0.54,1.19,24.9,0.54,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.1527,646,22
Kotera,Balod,Chhattisgarh,250.88,8.064,771.23,5.99,0.66,0.7,35.36,0.66,2.5,27.0,72,130,2024-25,22_646_shc_2024-25.1578,646,22
Kotera,Balod,Chhattisgarh,288.512,8.96,660.62,5.78,0.72,0.32,34.25,0.58,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.2669,646,22
Kotera,Balod,Chhattisgarh,301.056,16.128,582.62,5.81,0.91,0.39,34.44,0.7,12.5,27.0,72,130,2024-25,22_646_shc_2024-25.2670,646,22
Kotera,Balod,Chhattisgarh,313.6,8.96,788.36,5.87,0.87,0.81,37.59,0.58,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.4223,646,22
Kotera,Balod,Chhattisgarh,263.424,16.128,817.82,5.97,0.69,0.41,36.44,0.6,2.5,27.0,72,130,2024-25,22_646_shc_2024-25.4226,646,22
Kotera,Balod,Chhattisgarh,33.6,15.232,548.06,5.73,0.92,0.31,34.99,0.57,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.4564,646,22
Kotera,Balod,Chhattisgarh,301.056,13.44,566.2,5.72,0.42,0.4,34.6,0.58,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.4565,646,22
Kotera,Balod,Chhattisgarh,313.6,12.544,667.32,5.78,0.84,0.42,33.333,0.62,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.4573,646,22
Kotera,Balod,Chhattisgarh,200.704,13.44,540.48,5.75,0.81,0.41,36.29,0.6,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.4575,646,22
Kotera,Balod,Chhattisgarh,313.6,18.816,58.75,7.33,0.12,0.3,32.77,0.55,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.4586,646,22
Kotera,Balod,Chhattisgarh,326.144,12.544,651.79,5.79,0.84,0.2,34.25,0.62,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.4587,646,22
Kotera,Balod,Chhattisgarh,326.144,11.648,613.48,5.84,0.48,0.2,34.81,0.55,13.75,27.0,72,130,2024-25,22_646_shc_2024-25.4588,646,22
Kotera,Balod,Chhattisgarh,188.16,13.44,598.0,5.78,0.87,0.28,30.55,0.53,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.4589,646,22
Pakur Bhat,Balod,Chhattisgarh,238.336,45.696,162.96,6.91,0.68,0.25,13.29,0.39,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.613,646,22
Pakur Bhat,Balod,Chhattisgarh,213.248,11.648,158.03,6.9,0.6,0.46,13.74,0.2,12.5,27.0,72,130,2024-25,22_646_shc_2024-25.1911,646,22
Pakur Bhat,Balod,Chhattisgarh,275.968,16.128,267.3,6.7,0.83,1.8,14.15,0.35,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.1912,646,22
Pakur Bhat,Balod,Chhattisgarh,288.512,26.88,504.14,6.72,0.63,0.21,13.19,0.23,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.1913,646,22
Pakur Bhat,Balod,Chhattisgarh,301.056,6.272,457.4,6.73,0.44,0.17,13.78,0.36,26.25,27.0,72,130,2024-25,22_646_shc_2024-25.1918,646,22
Pangri,Balod,Chhattisgarh,225.792,14.336,228.25,7.47,0.54,0.7,28.04,2.61,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.1654,646,22
Pangri,Balod,Chhattisgarh,275.968,93.856,671.66,6.92,0.45,0.94,26.54,0.53,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.2340,646,22
Pangri,Balod,Chhattisgarh,213.248,22.4,543.76,7.35,0.52,0.5,25.63,1.21,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.4332,646,22
Pangri,Balod,Chhattisgarh,301.056,17.92,368.59,6.89,0.58,0.5,28.63,1.21,5.0,27.0,72,130,2024-25,22_646_shc_2024-25.4384,646,22
Pangri,Balod,Chhattisgarh,275.968,11.648,439.82,6.33,0.61,0.49,33.55,1.46,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.4435,646,22
Pangri,Balod,Chhattisgarh,338.688,10.752,471.85,7.11,0.54,1.62,13.35,0.42,5.0,27.0,72,130,2024-25,22_646_shc_2024-25.336,646,22
Pangri,Balod,Chhattisgarh,225.792,9.856,406.67,6.85,0.18,0.91,14.29,0.48,2.5,27.0,72,130,2024-25,22_646_shc_2024-25.846,646,22
Pangri,Balod,Chhattisgarh,188.16,10.752,228.81,7.12,0.15,1.04,13.2,0.4,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.1701,646,22
Pangri,Balod,Chhattisgarh,388.684,9.856,505.34,6.89,0.13,1.93,21.12,0.93,6.0,27.0,72,130,2024-25,22_646_shc_2024-25.1753,646,22
Pangri,Balod,Chhattisgarh,288.512,9.856,331.85,6.78,0.15,1.38,17.19,0.82,2.5,27.0,72,130,2024-25,22_646_shc_2024-25.1760,646,22
Pangri,Balod,Chhattisgarh,338.688,11.648,459.98,6.81,0.21,1.25,15.92,0.96,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.1765,646,22
Pangri,Balod,Chhattisgarh,313.6,10.752,643.344,6.92,0.9,2.5,13.2,0.37,2.5,27.0,72,130,2024-25,22_646_shc_2024-25.1766,646,22
Pangri,Balod,Chhattisgarh,263.424,10.752,465.36,6.82,0.3,1.16,14.83,0.12,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.1788,646,22
Piparchhedi,Balod,Chhattisgarh,301.06,25.09,443.18,6.35,0.58,1.44,18.23,0.27,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.883,646,22
Piparchhedi,Balod,Chhattisgarh,313.6,23.3,422.35,6.15,0.61,1.09,17.21,0.37,12.5,27.0,72,130,2024-25,22_646_shc_2024-25.3156,646,22
Piparchhedi,Balod,Chhattisgarh,288.51,30.46,497.05,6.02,0.81,0.69,17.22,0.49,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.3166,646,22
Piparchhedi,Balod,Chhattisgarh,351.23,32.26,548.35,6.45,0.88,1.09,16.2,0.41,13.75,27.0,72,130,2024-25,22_646_shc_2024-25.3171,646,22
Piparchhedi,Balod,Chhattisgarh,301.06,30.46,469.05,6.21,0.87,0.93,17.5,0.33,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.3172,646,22
Piparchhedi,Balod,Chhattisgarh,263.42,25.09,483.84,6.37,0.91,1.09,17.08,0.48,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.3183,646,22
Piparchhedi,Balod,Chhattisgarh,376.32,22.4,569.07,6.3,0.81,0.93,17.31,0.42,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.3184,646,22
Piparchhedi,Balod,Chhattisgarh,301.06,26.88,492.12,6.0,0.52,0.55,17.01,0.24,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.3190,646,22
Piparchhedi,Balod,Chhattisgarh,288.51,29.57,455.39,6.28,0.63,0.97,17.24,0.31,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.3191,646,22
Piparchhedi,Balod,Chhattisgarh,238.34,23.3,502.32,6.11,0.58,1.57,18.01,0.35,12.5,27.0,72,130,2024-25,22_646_shc_2024-25.3501,646,22
Piparkhar,Balod,Chhattisgarh,213.248,15.232,387.29,6.6,0.58,0.54,27.82,1.2,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.3864,646,22
Piparkhar,Balod,Chhattisgarh,250.88,8.064,333.75,6.43,0.4,0.57,29.22,1.09,5.0,27.0,72,130,2024-25,22_646_shc_2024-25.3872,646,22
Piparkhar,Balod,Chhattisgarh,213.248,8.96,528.75,6.7,0.52,0.57,28.11,1.07,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.3873,646,22
Piparkhar,Balod,Chhattisgarh,263.424,11.648,355.26,6.79,0.43,0.49,26.92,0.34,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.3876,646,22
Piparkhar,Balod,Chhattisgarh,250.88,16.128,331.07,6.19,0.76,0.58,29.01,1.09,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.3880,646,22
Piparkhar,Balod,Chhattisgarh,213.248,12.544,354.14,6.73,0.13,0.85,27.55,1.03,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.3884,646,22
Piparkhar,Balod,Chhattisgarh,188.16,10.752,344.06,7.26,0.43,1.65,21.08,1.07,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.3885,646,22
Piparkhar,Balod,Chhattisgarh,338.688,9.856,435.56,6.61,0.28,0.55,29.11,1.18,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.3886,646,22
Piparkhar,Balod,Chhattisgarh,313.6,11.648,287.5,6.25,0.67,0.47,24.55,1.01,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.3895,646,22
Piparkhar,Balod,Chhattisgarh,188.16,12.544,309.56,6.62,0.46,1.17,24.92,1.03,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.3896,646,22
Piparkhar,Balod,Chhattisgarh,275.968,10.752,310.57,6.52,0.73,1.1,29.25,1.01,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.3910,646,22
Piparkhar,Balod,Chhattisgarh,288.512,8.96,363.1,6.55,0.73,0.55,28.01,1.16,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.3911,646,22
Piparkhar,Balod,Chhattisgarh,301.056,7.168,333.08,6.27,0.43,0.33,28.32,1.09,2.5,27.0,72,130,2024-25,22_646_shc_2024-25.3912,646,22
Piparkhar,Balod,Chhattisgarh,301.056,14.336,239.79,6.52,0.56,0.74,50.41,1.53,5.0,27.0,72,130,2024-25,22_646_shc_2024-25.4752,646,22
Piparkhar,Balod,Chhattisgarh,250.88,13.44,454.49,6.23,0.71,0.52,40.08,0.49,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.5027,646,22
Piparkhar,Balod,Chhattisgarh,301.056,12.544,328.04,6.79,0.35,1.4,27.24,0.34,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.5036,646,22
Piparkhar,Balod,Chhattisgarh,238.336,13.44,381.47,6.92,0.5,1.5,23.84,0.81,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.5043,646,22
Piparkhar,Balod,Chhattisgarh,288.512,12.544,230.72,6.55,0.56,1.05,48.71,1.38,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.5094,646,22
Piparkhar,Balod,Chhattisgarh,225.792,11.648,322.56,6.53,0.65,0.61,42.33,0.64,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.5098,646,22
Piparkhar,Balod,Chhattisgarh,301.056,9.856,238.56,6.5,0.53,1.0,48.07,1.27,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.5100,646,22
Piparkhar,Balod,Chhattisgarh,301.056,9.856,238.56,6.5,0.53,1.0,48.07,1.27,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.5102,646,22
Piparkhar,Balod,Chhattisgarh,213.248,12.544,149.63,6.51,0.59,0.51,48.28,1.38,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.5103,646,22
Piparkhar,Balod,Chhattisgarh,250.88,8.064,286.72,6.64,0.44,0.88,42.97,0.56,3.75,27.0,72,130,2024-25,22_646_shc_2024-25.5104,646,22
Saja,Balod,Chhattisgarh,225.792,9.856,391.55,6.52,0.88,0.82,29.21,0.63,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.285,646,22
Saja,Balod,Chhattisgarh,263.424,13.4,419.9,6.5,0.82,0.67,31.16,0.52,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.358,646,22
Saja,Balod,Chhattisgarh,250.88,15.232,316.28,7.42,0.9,0.79,32.77,0.61,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.435,646,22
Saja,Balod,Chhattisgarh,301.056,14.336,324.46,6.62,0.69,0.68,34.75,0.66,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.1640,646,22
Saja,Balod,Chhattisgarh,288.512,8.96,333.84,6.58,0.78,0.54,34.75,0.7,11.25,27.0,72,130,2024-25,22_646_shc_2024-25.1710,646,22
Saja,Balod,Chhattisgarh,213.248,7.168,466.49,6.86,0.9,0.15,34.91,0.57,10.0,27.0,72,130,2024-25,22_646_shc_2024-25.1711,646,22
Saja,Balod,Chhattisgarh,288.512,8.064,449.24,6.78,0.81,0.59,31.08,0.81,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.1743,646,22
Taroud,Balod,Chhattisgarh,313.6,32.26,194.2,7.26,0.5,0.94,18.11,0.62,16.25,27.0,72,130,2024-25,22_646_shc_2024-25.551,646,22
Taroud,Balod,Chhattisgarh,263.42,21.5,259.39,7.41,0.7,0.04,17.52,0.62,15.0,27.0,72,130,2024-25,22_646_shc_2024-25.3124,646,22
Taroud,Balod,Chhattisgarh,250.88,25.09,225.56,7.58,0.68,0.9,17.95,0.55,13.75,27.0,72,130,2024-25,22_646_shc_2024-25.3125,646,22
Taroud,Balod,Chhattisgarh,238.34,22.4,443.4,0.32,0.33,0.81,17.55,0.3,7.5,27.0,72,130,2024-25,22_646_shc_2024-25.3130,646,22
Taroud,Balod,Chhattisgarh,225.79,22.4,371.72,7.37,0.46,0.87,18.22,0.27,8.75,27.0,72,130,2024-25,22_646_shc_2024-25.3136,646,22
Taroud,Balod,Chhattisgarh,213.25,21.5,510.72,7.35,0.43,0.41,17.55,0.32,6.25,27.0,72,130,2024-25,22_646_shc_2024-25.3157,646,22
Taroud,Balod,Chhattisgarh,275.968,30.464,294.22,7.45,0.43,0.6,18.35,0.7,13.75,27.0,72,130,2024-25,22_646_shc_2024-25.3159,646,22
Achankpur,Baloda Bazar,Chhattisgarh,288.57,13.44,290.08,6.4,0.35,0.2,4.33,0.44,37.5,27.0,72,130,2025-26,22_644_shc_2025-26.6650,644,22
Arjuni,Baloda Bazar,Chhattisgarh,150.52,15.23,409.92,7.5,0.6,0.4,12.69,0.34,22.5,27.0,72,130,2025-26,22_644_shc_2025-26.6099,644,22
Arjuni,Baloda Bazar,Chhattisgarh,188.16,10.75,374.88,7.6,0.56,0.1,12.98,0.37,28.75,27.0,72,130,2025-26,22_644_shc_2025-26.6552,644,22
Arjuni,Baloda Bazar,Chhattisgarh,288.51,21.5,361.76,7.0,0.48,0.5,28.15,0.39,18.75,27.0,72,130,2025-26,22_644_shc_2025-26.6630,644,22
Arjuni,Baloda Bazar,Chhattisgarh,225.79,19.71,178.08,6.5,0.31,0.7,2.17,0.86,36.5,27.0,72,130,2025-26,22_644_shc_2025-26.6647,644,22
Arjuni,Baloda Bazar,Chhattisgarh,200.7,17.02,340.48,6.4,0.22,0.5,14.32,0.52,26.25,27.0,72,130,2025-26,22_644_shc_2025-26.6651,644,22
Arjuni,Baloda Bazar,Chhattisgarh,250.88,15.23,353.97,7.1,0.28,0.4,4.29,0.61,17.5,27.0,72,130,2025-26,22_644_shc_2025-26.6889,644,22
Basin,Baloda Bazar,Chhattisgarh,163.07,9.86,496.16,7.2,0.28,0.1,8.42,0.16,32.5,27.0,72,130,2025-26,22_644_shc_2025-26.6079,644,22
Basinpali,Baloda Bazar,Chhattisgarh,125.44,11.65,278.88,6.2,0.52,0.2,27.17,0.64,37.5,27.0,72,130,2025-26,22_644_shc_2025-26.2690,644,22
Deori,Baloda Bazar,Chhattisgarh,188.16,15.23,341.6,6.8,0.59,0.1,15.6,0.66,37.5,27.0,72,130,2025-26,22_644_shc_2025-26.2102,644,22
Deori,Baloda Bazar,Chhattisgarh,163.07,16.13,506.24,6.7,0.48,0.4,5.91,0.87,31.25,27.0,72,130,2025-26,22_644_shc_2025-26.5200,644,22
Deori,Baloda Bazar,Chhattisgarh,225.79,25.09,169.12,7.0,0.72,0.2,6.92,0.41,11.25,27.0,72,130,2025-26,22_644_shc_2025-26.5201,644,22
Deori,Baloda Bazar,Chhattisgarh,163.07,13.44,376.32,6.8,0.79,0.1,13.54,0.62,21.25,27.0,72,130,2025-26,22_644_shc_2025-26.5223,644,22
Deori,Baloda Bazar,Chhattisgarh,175.61,13.44,250.88,6.8,0.63,0.5,10.56,0.3,25.0,27.0,72,130,2025-26,22_644_shc_2025-26.5224,644,22
Deori,Baloda Bazar,Chhattisgarh,188.16,14.34,291.2,7.0,0.4,0.1,7.63,0.64,47.5,27.0,72,130,2025-26,22_644_shc_2025-26.5225,644,22
Deori,Baloda Bazar,Chhattisgarh,213.24,11.65,436.8,7.0,0.73,0.3,9.13,0.6,32.5,27.0,72,130,2025-26,22_644_shc_2025-26.5226,644,22
Deori,Baloda Bazar,Chhattisgarh,163.07,23.3,269.92,6.7,0.58,0.2,9.9,0.69,23.75,27.0,72,130,2025-26,22_644_shc_2025-26.5227,644,22
Deori,Baloda Bazar,Chhattisgarh,213.24,13.44,339.36,6.7,0.61,0.1,18.23,0.94,25.0,27.0,72,130,2025-26,22_644_shc_2025-26.5228,644,22
Deori,Baloda Bazar,Chhattisgarh,175.61,19.71,408.8,6.8,0.95,0.5,14.06,0.56,23.75,27.0,72,130,2025-26,22_644_shc_2025-26.5229,644,22
Deori,Baloda Bazar,Chhattisgarh,188.16,9.86,490.56,7.1,0.75,0.5,11.46,0.42,20.0,27.0,72,130,2025-26,22_644_shc_2025-26.5230,644,22
Deori,Baloda Bazar,Chhattisgarh,250.88,15.23,257.6,6.9,0.54,0.6,8.87,0.32,23.75,27.0,72,130,2025-26,22_644_shc_2025-26.5231,644,22
Deori,Baloda Bazar,Chhattisgarh,163.07,133.44,576.8,7.0,0.81,0.3,10.51,0.3,17.5,27.0,72,130,2025-26,22_644_shc_2025-26.5232,644,22
Deori,Baloda Bazar,Chhattisgarh,175.61,10.75,510.72,6.8,0.73,0.4,12.38,0.39,22.5,27.0,72,130,2025-26,22_644_shc_2025-26.5233,644,22
Deori,Baloda Bazar,Chhattisgarh,175.61,10.75,304.64,6.9,0.64,0.3,10.44,0.44,26.25,27.0,72,130,2025-26,22_644_shc_2025-26.5234,644,22
Deori,Baloda Bazar,Chhattisgarh,200.7,16.13,362.88,6.8,0.61,0.2,5.03,0.33,55.0,27.0,72,130,2025-26,22_644_shc_2025-26.5235,644,22
Deori,Baloda Bazar,Chhattisgarh,150.52,9.86,161.28,6.5,0.59,0.3,6.12,0.81,35.0,27.0,72,130,2025-26,22_644_shc_2025-26.5236,644,22
Deori,Baloda Bazar,Chhattisgarh,163.07,8.96,493.92,6.8,0.5,0.2,7.38,0.67,3.75,27.0,72,130,2025-26,22_644_shc_2025-26.5237,644,22
Deori,Baloda Bazar,Chhattisgarh,137.98,17.02,28.08,6.8,0.63,0.2,8.5,0.5,72.5,27.0,72,130,2025-26,22_644_shc_2025-26.5238,644,22
Deori,Baloda Bazar,Chhattisgarh,288.51,15.23,367.36,6.9,0.9,0.2,17.35,0.93,18.75,27.0,72,130,2025-26,22_644_shc_2025-26.5239,644,22
Deori,Baloda Bazar,Chhattisgarh,200.7,11.65,387.52,6.8,0.64,0.1,16.39,0.51,21.25,27.0,72,130,2025-26,22_644_shc_2025-26.5240,644,22
Deori,Baloda Bazar,Chhattisgarh,188.16,14.34,309.12,6.7,0.96,0.1,7.43,0.45,28.75,27.0,72,130,2025-26,22_644_shc_2025-26.5241,644,22
Deori,Baloda Bazar,Chhattisgarh,188.16,8.96,191.52,6.8,0.52,0.4,10.09,0.65,12.5,27.0,72,130,2025-26,22_644_shc_2025-26.5242,644,22
Deori,Baloda Bazar,Chhattisgarh,188.16,11.65,258.72,6.8,0.5,0.4,11.08,0.71,20.0,27.0,72,130,2025-26,22_644_shc_2025-26.5244,644,22
Deori,Baloda Bazar,Chhattisgarh,175.61,8.06,538.72,6.8,0.54,0.4,9.15,0.45,25.0,27.0,72,130,2025-26,22_644_shc_2025-26.5246,644,22
Deori,Baloda Bazar,Chhattisgarh,250.88,11.65,490.56,6.8,0.86,0.3,6.84,0.47,11.25,27.0,72,130,2025-26,22_644_shc_2025-26.5247,644,22
Deori,Baloda Bazar,Chhattisgarh,225.79,16.13,464.8,6.5,0.61,0.2,6.68,0.99,26.25,27.0,72,130,2025-26,22_644_shc_2025-26.7042,644,22
Deori,Baloda Bazar,Chhattisgarh,163.07,12.54,453.6,6.5,0.54,0.6,9.34,0.69,22.5,27.0,72,130,2025-26,22_644_shc_2025-26.7043,644,22
Dhekuna,Baloda Bazar,Chhattisgarh,200.7,7.17,453.6,7.6,0.51,0.5,7.34,0.76,61.25,27.0,72,130,2025-26,22_644_shc_2025-26.1635,644,22
Dhekuna,Baloda Bazar,Chhattisgarh,150.52,8.06,378.56,7.5,0.34,0.6,15.71,0.82,77.5,27.0,72,130,2025-26,22_644_shc_2025-26.1636,644,22
Dhekuna,Baloda Bazar,Chhattisgarh,175.61,6.27,389.76,7.4,0.43,0.5,19.51,0.92,36.25,27.0,72,130,2025-26,22_644_shc_2025-26.1638,644,22
Dhekuna,Baloda Bazar,Chhattisgarh,175.61,8.96,441.28,7.5,0.29,0.3,6.63,0.53,77.5,27.0,72,130,2025-26,22_644_shc_2025-26.1639,644,22
Dhekuna,Baloda Bazar,Chhattisgarh,137.98,8.06,320.32,7.6,0.6,0.5,6.86,0.7,47.5,27.0,72,130,2025-26,22_644_shc_2025-26.1642,644,22
